title,product_title,product_id
YA2CL-2TC14 - Burndy,98047A,
CSWD-2-14-58 - Ilsco,98047A,
YA2CL-2TC38 - Burndy,98047B,
CSWD-2-38-1 - Ilsco,98047B,
YA2CL-2TC14E2 - Burndy,98047C,
CSWD-2-14-34 - Ilsco,98047C,
YA2CL-2TC14E1 - Burndy,98047D,
CSWD-2-14-1 - Ilsco,98047D,
YA1CL-2TC14 - Burndy,98048,
CSWD-1-14-58 - Ilsco,98048,
CSWD-1-516-1 - Ilsco,98048A,
YA1CL-2TC38 - Burndy,98048B,
CSWD-1-38-1 - Ilsco,98048B,
CSWD-1/0-516-78 - Ilsco,98049,
YA25L-2TC38 - Burndy,98050,
CSWD-1/0-38-1 - Ilsco,98050,
YA26L-2TC38 - Burndy,98051,
CSWD-2/0-38-1 - Ilsco,98051,
YA26-2LN - Burndy,98052,
CSWD-2/0-12-134 - Ilsco,98052,
YA27-2LN - Burndy,98053,
CSWD-3/0-12-134 - Ilsco,98053,
YA27L-2TC38 - Burndy,98053A,
CSWD-3/0-38-1 - Ilsco,98053A,
CSWD-3/0-516-1 - Ilsco,98053B,
YA28-2LN - Burndy,98054,
CSWD-4/0-12-134 - Ilsco,98054,
YA28L-2TC38 - Burndy,98055,
CSWD-4/0-38-1 - Ilsco,98055,
YA28L-2TC14E1 - Burndy,98055A,
CSWD-4/0-14-1 - Ilsco,98055A,
YA29L-2TC38 - Burndy,98056A,
CSWD-250-38-1 - Ilsco,98056A,
YA29-2LN - Burndy,98056B,
CSWD-250-12-134 - Ilsco,98056B,
YA30-2LN - Burndy,98057,
CSWD-300-12-134 - Ilsco,98057,
YA31-2LN - Burndy,98058,
CSWD-350-12-134 - Ilsco,98058,
YA31L-2TC38 - Burndy,98058A,
CSWD-350-38-1 - Ilsco,98058A,
YA32-2LN - Burndy,98059,
CSWD-400-12-134 - Ilsco,98059,
YA34-2LN - Burndy,98060,
CSWD-500-12-134 - Ilsco,98060,
YA34L-2TC38 - Burndy,98060A,
CSWD-500-38-1 - Ilsco,98060A,
YA36-2LN - Burndy,98062,
CSWD-600-12-134 - Ilsco,98062,
YA39-2LN - Burndy,98063,
CSWD-750-12-134 - Ilsco,98063,
CLND-8-10-58 - Ilsco,98083,
YA8C2TC14 - Burndy,98084,
CLND-8-14-58 - Ilsco,98084,
CLND-8-14-1 - Ilsco,98084B,
YA8C2TC14E2 - Burndy,98084C,
CLND-8-14-34 - Ilsco,98084C,
YA8C2TC38 - Burndy,98084A,
CLND-8-38-1 - Ilsco,98084A,
YA6C2TC14 - Burndy,98085,
CLND-6-14-58 - Ilsco,98085,
CLND-6-14-12 - Ilsco,98085A,
YA6C2N - Burndy,98085B,
CLND-6-12-134 - Ilsco,98085B,
YA6C2TC14E2 - Burndy,98085C,
CLND-6-14-34 - Ilsco,98085C,
YA6C2TC38 - Burndy,98085D,
CLND-6-38-1 - Ilsco,98085D,
YA6C2TC38E2 - Burndy,98085E,
CLND-6-38-34 - Ilsco,98085E,
YA4C2TC14 - Burndy,98086,
CLND-4-14-58 - Ilsco,98086,
YA4C2TC38 - Burndy,98086A,
CLND-4-38-1 - Ilsco,98086A,
YA4C2TC14E2 - Burndy,98086B,
CLND-4-14-34 - Ilsco,98086B,
CLND-4-516-1 - Ilsco,98086C,
CLND-4-14-1 - Ilsco,98086D,
YA4C2N - Burndy,98087,
CLND-4-12-134 - Ilsco,98087,
YA2C2TC516E2 - Burndy,98088,
CLND-2-516-34 - Ilsco,98088,
YA22C2TC38 - Burndy,98088A,
CLND-2-38-1 - Ilsco,98088A,
YA2C2TC14 - Burndy,98088B,
CLND-2-14-58 - Ilsco,98088B,
YA2C2TC14E2 - Burndy,98088C,
CLND-2-14-34 - Ilsco,98088C,
CLND-2-14-1 - Ilsco,98088D,
YA2C2TC38E2 - Burndy,98088E,
CLND-2-38-34 - Ilsco,98088E,
YA2C2NTC38 - Burndy,98088F,
CLND-2-38-134 - Ilsco,98088F,
CLND-2-516-1 - Ilsco,98089A,
YA2C2N - Burndy,98090,
CLND-2-12-134 - Ilsco,98090,
YA1C2TC14 - Burndy,98091,
CLND-1-14-58 - Ilsco,98091,
YA1C2TC38 - Burndy,98091A,
CLND-1-38-1 - Ilsco,98091A,
YA1C2TC14E2 - Burndy,98091B,
CLND-1-14-34 - Ilsco,98091B,
CLND-1-516-78 - Ilsco,98091C,
YA1C2N - Burndy,98093,
CLND-1-12-134 - Ilsco,98093,
CLND-1/0-516-78 - Ilsco,98094,
YA252TC38 - Burndy,98095,
CLND-1/0-38-1 - Ilsco,98095,
YA252TC14 - Burndy,98095A,
CLND-1/0-14-58 - Ilsco,98095A,
YA252NTC38 - Burndy,98095C,
CLND-1/0-38-134 - Ilsco,98095C,
YA252N - Burndy,98096,
CLND-1/0-12-134 - Ilsco,98096,
YA262TC38 - Burndy,98097,
CLND-2/0-3/8-1 - Ilsco,98097,
YA262TC14E2 - Burndy,98097A,
CLND-2/0-14-34 - Ilsco,98097A,
YA262TC14 - Burndy,98097B,
CLND-2/0-14-58 - Ilsco,98097B,
CLND-2/0-14-1 - Ilsco,98097C,
CLND-2/0-38-134 - Ilsco,98097D,
YA262N - Burndy,98098,
CLND-2/0-12-134 - Ilsco,98098,
CLND-3/0-516-1 - Ilsco,98099,
YA272TC38 - Ilsco,98099A,
CLND-3/0-38-1 - Ilsco,98099A,
CLND-3/0-14-58 - Ilsco,98099C,
YA272N - Burndy,98100A,
CLND-3/0-12-134 - Ilsco,98100A,
YA282TC38 - Burndy,98101,
CLND-4/0-38-1 - Ilsco,98101,
YA282TC14E2 - Burndy,98101A,
CLND-4/0-14-34 - Ilsco,98101A,
YA282NTC38 - Burndy,98101B,
CLND-4/0-38-134 - Ilsco,98101B,
CLND-4/0-14-58 - Ilsco,98101C,
YA282N - Burndy,98102,
CLND-4/0-12-134 - Ilsco,98102,
YA292N - Burndy,98104,
CLND-250-12-134 - Ilsco,98104,
YA302N - Burndy,98105,
CLND-300-12-134 - Ilsco,98105,
YA312TC38 - Burndy,98106A,
CLND-350-3/8-1 - Ilsco,98106A,
YA322N - Burndy,98107,
