title,product_slug,product_title
CTL-4/0 - Ilsco,98135,98135
YS29 - Burndy,98136,98136
CTL-250 - Ilsco,98136,98136
YS30 - Burndy,98137,98137
CTL-300 - Ilsco,98137,98137
YS31 - Burndy,98138,98138
CTL-350 - Ilsco,98138,98138
YS32 - Burndy,98139,98139
CTL-400 - Ilsco,98139,98139
YS34 - Burndy,98140,98140
CTL-500 - Ilsco,98140,98140
YS36 - Burndy,98141,98141
CTL-600 - Ilsco,98141,98141
YS39 - Burndy,98142,98142
CTL-750 - Ilsco,98142,98142
ALNS-6-14 - Ilsco,98502,98502
YA6CA1 - Burndy,98502,98502
YA4CA1 - Burndy,98505,98505
ALNS-4-14 - Ilsco,98505,98505
YA4CA3 - Burndy,98506,98506
ACN-4 - Ilsco,98506,98506
YA4CA6 - Burndy,98507,98507
YA2CA5 - Burndy,98508,98508
ALNS-2-14 - Ilsco,98508,98508
YA2CA1 - Burndy,98509,98509
ACN-2 - Ilsco,98509,98509
YA2CA3 - Burndy,98510,98510
ALNS-1-14 - Ilsco,98511,98511
ACN-1 - Ilsco,98512,98512
YA1CA1 - Burndy,98513,98513
YA25A1 - Burndy,98515,98515
ACN-1/0 - Ilsco,98515,98515
YA25A3 - Burndy,98516,98516
ALNS-1/0-38 - Ilsco,98516,98516
YA25A9 - Burndy,98517,98517
YA26A6 - Burndy,98520,98520
ALNS-2/0-38 - Ilsco,98520,98520
YA26A1 - Burndy,98521,98521
ALNS-2/0-12 - Ilsco,98521,98521
YA27A1 - Burndy,98524,98524
ALNS-3/0-38 - Ilsco,98524,98524
YA27A3 - Burndy,98525,98525
ALNS-3/0-12 - Ilsco,98525,98525
YA28A1 - Burndy,98528,98528
ALNS-4/0-38 - Ilsco,98528,98528
YA28A3 - Burndy,98529,98529
ALNS-4/0-12 - Ilsco,98529,98529
YA29A9 - Burndy,98530,98530
YA29A1 - Burndy,98531,98531
ALNS-250-12 - Ilsco,98531,98531
YA30A6 - Burndy,98532,98532
YA30A1 - Burndy,98533,98533
ALNS-300-12 - Ilsco,98533,98533
YA31A1 - Burndy,98535,98535
ALNS-350-12 - Ilsco,98535,98535
YA32A9 - Burndy,98536,98536
YA32A3 - Burndy,98537,98537
ALNS-400-12 - Ilsco,98537,98537
ALNS-500-12 - Ilsco,98539,98539
YA34A1 - Burndy,98540,98540
ALNS-600-12 - Ilsco,98541,98541
YA36A1 - Burndy,98542,98542
YA39A1 - Burndy,98543,98543
YA39A3 - Burndy,98544,98544
ALNS-700/750-58 - Ilsco,98544,98544
YA25A5 - Burndy,98545,98545
2ACL-1/0 - Ilsco,98545,98545
YA25A7 - Burndy,98546,98546
ALND-4/0-12-134 - Ilsco,98546,98546
BLUA-2/0D - Penn Union,98547,98547
ALND-2/0-12-134 - Ilsco,98547,98547
YA27A5 - Burndy,98548,98548
2ACL-3/0 - Ilsco,98548,98548
YA28A5 - Burndy,98549,98549
ALND-4/0-12-134 - Ilsco,98549,98549
YA29A3 - Burndy,98550,98550
ALND-250-12-134 - Ilsco,98550,98550
YA30A3 - Burndy,98551,98551
ALND-300-12-134 - Ilsco,98551,98551
YA31A3 - Burndy,98552,98552
ALND-350-12-134 - Ilsco,98552,98552
YA32A3 - Burndy,98553,98553
ALND-400-12-134 - Ilsco,98553,98553
YA34A3 - Burndy,98554,98554
2ACL-500 - Ilsco,98554,98554
YA36A3 - Burndy,98555,98555
2ACL-600 - Ilsco,98555,98555
YA39A5 - Burndy,98556,98556
2ACL-750 - Ilsco,98556,98556
YA44A3 - Burndy,98557,98557
2ACL-1000 - Ilsco,98557,98557
YS8CA1 - Burndy,98558a,98558A
AS-8 - Ilsco,98558a,98558A
YS6CA1 - Burndy,98558,98558
AS-6 - Ilsco,98558,98558
YS4CA1 - Burndy,98559,98559
AS-4 - Ilsco,98559,98559
YS2CA1 - Burndy,98560,98560
AS-2 - Ilsco,98560,98560
YS1CA1 - Burndy,98561,98561
AS-1 - Ilsco,98561,98561
YS25A1 - Burndy,98562,98562
AS-1/0 - Ilsco,98562,98562
YS26A1 - Burndy,98563,98563
AS-2/0 - Ilsco,98563,98563
YS27A1 - Burndy,98564,98564
AS-3/0 - Ilsco,98564,98564
YS28A1 - Burndy,98565,98565
AS-4/0 - Ilsco,98565,98565
YS29A1 - Burndy,98566,98566
AS-250 - Ilsco,98566,98566
YS30A1 - Burndy,98567,98567
AS-300 - Ilsco,98567,98567
YS31A1 - Burndy,98568,98568
AS-350 - Ilsco,98568,98568
YS32A1 - Burndy,98569,98569
AS-400 - Ilsco,98569,98569
YS34A1 - Burndy,98570,98570
AS-500 - Ilsco,98570,98570
YS36A1 - Burndy,98571,98571
AS-600 - Ilsco,98571,98571
AS-750 - Ilsco,98572,98572
YS44A1 - Burndy,98573,98573
AS-1000 - Ilsco,98573,98573
C11K16D - Burndy,22311a,22311A
BGC-2P-DB - Ilsco,22311a,22311A
JDLI - ABB,22311a,22311A
KPL-1-DB - Penn-Union,22311a,22311A
KPL-1-4/0-DB - Penn-Union,22313,22313
KPL-2-4/0-DB - Penn-Union,22313a,22313A
KPL-4-4/0-DB - Penn-Union,22313b,22313B
C11K17D - Burndy,22311b,22311B
BGC-2T-DB - Ilsco,22311b,22311B
KPL-1-DB-90 - Penn-Union,22311b,22311B
BGC-4/0S-DB - Ilsco,22312,22312
KPH1DB - Penn-Union,22312,22312
KR3DB - Penn-Union,22314,22314
KR4DB - Penn-Union,22315,22315
C-11N - Burndy,oe-01,OE-01
BGC-1 - Ilsco,oe-01,OE-01
KG-2-NH - Penn-Union,oe-01,OE-01
BGC-2 - Ilsco,oe-02,OE-02
J2BB - ABB,oe-02,OE-02
KG-1-NH - Penn-Union,oe-02,OE-02
C-11B - Burndy,oe-01b,OE-01B
KG-1-DB-NH - Penn-Union,oe-01b,OE-01B
KG-2-DB-NH - Penn-Union,oe-02b,OE-02B
C-11D - Burndy,oe01-db,OE01-DB
BGC-1DB - Ilsco,oe01-db,OE01-DB
JD - ABB,oe01-db,OE01-DB
KP1-DB - Penn-Union,oe01-db,OE01-DB
C-22D - Burndy,oe02-db,OE02-DB
BGC-2DB - Ilsco,oe02-db,OE02-DB
J2D - ABB,oe02-db,OE02-DB
KP-2DB - Penn-Union,oe02-db,OE02-DB
C-11JPT - Burndy,50001,50001
KG-1 - Penn-Union,50001,50001
C-22JPT - Burndy,50002,50002
KG-2 - Penn-Union,50002,50002
C-4JPT - Burndy,50003,50003
KG-3 - Penn-Union,50003,50003
KG-4 - Penn-Union,50004,50004
C11HD4/0DB - Burndy,50001b,50001B
KG-1-DB - Penn-Union,50001b,50001B
C22HD4/0DB - Burndy,50002b,50002B
KG-2-DB - Penn-Union,50002b,50002B
KG-3-DB - Penn-Union,50003b,50003B
KG-4-DB - Penn-Union,50004b,50004B
C-61 - Burndy,50011,50011
BGC-1A - Ilsco,50011,50011
C-66 - Burndy,50012,50012
1-1/4–2 - Ilsco,50012,50012
C-11LH-1 - Burndy,50031,50031
JP-12 - ABB,50031,50031
KH-1 - Penn-Union,50031,50031
C-22LH-1 - Burndy,50032,50032
JP-212 - ABB,50032,50032
KH-2 - Penn-Union,50032,50032
C-4LH-1 - Burndy,50033,50033
